channel_id,channel_title,custom_url,channel_url,country,channel_published_at,uploads_playlist_id,last_seen_utc
UC-pdFydi9ooxEfATh3KoiIw,STEVEN,@stevenlathoud,https://www.youtube.com/channel/UC-pdFydi9ooxEfATh3KoiIw,FR,2010-02-11T17:53:39Z,UU-pdFydi9ooxEfATh3KoiIw,2026-01-31 15:50:36
UC0AFqXyYs1z2Dxx5jtQBicQ,SkinnZer,@skinnzer,https://www.youtube.com/channel/UC0AFqXyYs1z2Dxx5jtQBicQ,FR,2015-02-26T14:03:03Z,UU0AFqXyYs1z2Dxx5jtQBicQ,2026-01-31 15:50:36
UC0V8fUv0DB5Tq7uHdG7ixyw,W38,@w38,https://www.youtube.com/channel/UC0V8fUv0DB5Tq7uHdG7ixyw,FR,2008-10-12T21:02:29Z,UU0V8fUv0DB5Tq7uHdG7ixyw,2026-01-31 15:50:36
UC0kacsSWviDNM7msbzGLGMQ,Tenorshare French,@tenorsharefrench,https://www.youtube.com/channel/UC0kacsSWviDNM7msbzGLGMQ,FR,2017-06-29T02:24:11Z,UU0kacsSWviDNM7msbzGLGMQ,2026-01-31 15:50:36
UC1F5QJFXcu1evMkYyXRGoaw,LoKan Sardari - Studio,@lknstudio,https://www.youtube.com/channel/UC1F5QJFXcu1evMkYyXRGoaw,FR,2021-01-25T19:16:14.150883Z,UU1F5QJFXcu1evMkYyXRGoaw,2026-01-31 15:50:36
UC1N4EIilrmXhTEdu3h7tpPg,iPhone page,@iphonepage,https://www.youtube.com/channel/UC1N4EIilrmXhTEdu3h7tpPg,FR,2022-08-28T18:51:45.765702Z,UU1N4EIilrmXhTEdu3h7tpPg,2026-01-31 15:50:36
UC1WIj7YGywcVoRLS0zZu2RQ,TechDams,@techdams,https://www.youtube.com/channel/UC1WIj7YGywcVoRLS0zZu2RQ,FR,2023-02-21T13:46:05.973479Z,UU1WIj7YGywcVoRLS0zZu2RQ,2026-01-31 15:50:36
UC1ndVn8sa4oTbW09P5ICOog,amazing mac TV,@amazingmactv,https://www.youtube.com/channel/UC1ndVn8sa4oTbW09P5ICOog,FR,2012-02-27T15:41:32Z,UU1ndVn8sa4oTbW09P5ICOog,2026-01-31 15:50:36
UC1wV5Kf18gVbL3bWH-tWKDw,Cmonavis,@cmonavis,https://www.youtube.com/channel/UC1wV5Kf18gVbL3bWH-tWKDw,FR,2017-03-13T18:22:16Z,UU1wV5Kf18gVbL3bWH-tWKDw,2026-01-31 15:50:36
UC2HXhqg87yIWz152Ig9vkaQ,Tout Techno,@touttechno,https://www.youtube.com/channel/UC2HXhqg87yIWz152Ig9vkaQ,,2022-08-22T20:02:29.791465Z,UU2HXhqg87yIWz152Ig9vkaQ,2026-01-31 15:50:36
UC2XmvTlziz2LSXd_QKBwf8Q,Espritnewgen,@espritnewgen,https://www.youtube.com/channel/UC2XmvTlziz2LSXd_QKBwf8Q,FR,2015-11-12T10:59:07Z,UU2XmvTlziz2LSXd_QKBwf8Q,2026-01-31 15:50:36
UC2lMzO7HzJ_jamFT762vfwA,Jon Rettinger en Français,@jon4lakers_fr,https://www.youtube.com/channel/UC2lMzO7HzJ_jamFT762vfwA,FR,2025-10-29T23:28:46.539185Z,UU2lMzO7HzJ_jamFT762vfwA,2026-01-31 15:50:36
UC3-dl8nKItitMxM9DNTDAfQ,Kang et ses PC,@kangetsespc,https://www.youtube.com/channel/UC3-dl8nKItitMxM9DNTDAfQ,FR,2024-02-02T18:02:53.938582Z,UU3-dl8nKItitMxM9DNTDAfQ,2026-01-31 15:50:36
UC3aPRnneybmQcbEK-X-Qptg,GLG reviews,@glgreviews,https://www.youtube.com/channel/UC3aPRnneybmQcbEK-X-Qptg,FR,2015-05-11T13:30:51Z,UU3aPRnneybmQcbEK-X-Qptg,2026-01-31 15:50:36
UC4q3HKdMqzll3SvA2Lf7oAg,Thomas in Tech,@thomasintech,https://www.youtube.com/channel/UC4q3HKdMqzll3SvA2Lf7oAg,FR,2020-11-19T08:29:35.175382Z,UU4q3HKdMqzll3SvA2Lf7oAg,2026-01-31 15:50:36
